outcome,factor,level,reference,stratum,n_treat,n_control,mean_treat,mean_control,ate,ci_low,ci_high,cohens_d,p_value,p_holm,significant
cumulative_fpr,intervention,any intervention,no intervention,all models,480,120,0.6860763888888888,0.7797222222222222,-0.09364583333333343,-0.11354253472222242,-0.07201302083333329,-0.6911522280686407,9.118317360283336e-17,2.7354952080850006e-16,True
cumulative_fpr,timing,late entry,early entry,all models,240,240,0.7230555555555556,0.6490972222222221,0.07395833333333346,0.048680555555555616,0.09909895833333347,0.5289888961375259,1.2770566848417563e-08,2.5541133696835126e-08,True
cumulative_fpr,tone,aggressive debunking,empathetic nudge,all models,240,240,0.6877777777777777,0.684375,0.0034027777777777546,-0.023055555555555496,0.02889062499999983,0.02352533499657047,0.7964313415101444,0.7964313415101444,False
cumulative_fpr,intervention,any intervention,no intervention,surrogate-cautious,120,30,0.6015277777777778,0.775,-0.17347222222222225,-0.21722222222222198,-0.12888888888888872,-1.0996237338810506,3.9152675484824175e-11,,
cumulative_fpr,intervention,any intervention,no intervention,surrogate-conformist,120,30,0.6959722222222222,0.7788888888888891,-0.08291666666666686,-0.12111111111111117,-0.043329861111111166,-0.7230422592119412,0.00015207364945117146,,
cumulative_fpr,intervention,any intervention,no intervention,surrogate-cost-averse,120,30,0.7755555555555556,0.8061111111111111,-0.030555555555555558,-0.057499999999999996,-0.003329861111111241,-0.3707224056502687,0.03440848748896223,,
cumulative_fpr,intervention,any intervention,no intervention,surrogate-defiant,120,30,0.67125,0.758888888888889,-0.08763888888888893,-0.13083333333333336,-0.04236111111111118,-0.6720279279216187,0.0003155056685118974,,
cumulative_fpr,timing,late entry,early entry,surrogate-cautious,60,60,0.6683333333333333,0.5347222222222222,0.13361111111111112,0.07805555555555566,0.1880625,0.8521789336257967,8.063750777676652e-06,,
cumulative_fpr,timing,late entry,early entry,surrogate-conformist,60,60,0.7386111111111113,0.6533333333333334,0.0852777777777779,0.04499999999999993,0.12472916666666663,0.7644987210930657,5.1879175267228935e-05,,
cumulative_fpr,timing,late entry,early entry,surrogate-cost-averse,60,60,0.7869444444444446,0.7641666666666667,0.022777777777777897,-0.007777777777777661,0.053333333333333455,0.26511833619194186,0.14678967523692996,,
cumulative_fpr,timing,late entry,early entry,surrogate-defiant,60,60,0.6983333333333334,0.6441666666666667,0.054166666666666696,0.005833333333333354,0.10111111111111093,0.4050850224464406,0.02760972250954746,,
cumulative_fpr,tone,aggressive debunking,empathetic nudge,surrogate-cautious,60,60,0.6186111111111111,0.5844444444444445,0.03416666666666657,-0.02361111111111103,0.09416666666666662,0.2010543035637178,0.2700078912426156,,
cumulative_fpr,tone,aggressive debunking,empathetic nudge,surrogate-conformist,60,60,0.6994444444444444,0.6925000000000001,0.006944444444444309,-0.03527777777777796,0.050833333333333175,0.058066161783658886,0.7494755631966407,,
cumulative_fpr,tone,aggressive debunking,empathetic nudge,surrogate-cost-averse,60,60,0.7791666666666667,0.7719444444444447,0.007222222222222019,-0.023333333333333206,0.03833333333333333,0.08338589283132843,0.6466298580597484,,
cumulative_fpr,tone,aggressive debunking,empathetic nudge,surrogate-defiant,60,60,0.6538888888888889,0.6886111111111111,-0.03472222222222221,-0.0827847222222225,0.014722222222221974,-0.25649714007778895,0.16004847986754375,,
cumulative_epc,intervention,any intervention,no intervention,all models,480,120,0.09833333333333334,0.029027777777777774,0.06930555555555556,0.05541579861111111,0.08187673611111108,0.744193584383135,4.956585360548961e-21,1.486975608164688e-20,True
cumulative_epc,timing,late entry,early entry,all models,240,240,0.07743055555555557,0.11923611111111111,-0.04180555555555554,-0.05937499999999997,-0.02437499999999998,-0.4260771270737224,3.969590405943666e-06,7.939180811887331e-06,True
cumulative_epc,tone,aggressive debunking,empathetic nudge,all models,240,240,0.0901388888888889,0.10652777777777779,-0.016388888888888897,-0.034444444444444444,0.0017378472222221908,-0.16389293745723554,0.07279673340699716,0.07279673340699716,False
cumulative_epc,intervention,any intervention,no intervention,surrogate-cautious,120,30,0.1490277777777778,0.03333333333333334,0.11569444444444445,0.08541319444444445,0.14264236111111106,1.1161524038948811,1.3054625840201832e-11,,
cumulative_epc,intervention,any intervention,no intervention,surrogate-conformist,120,30,0.10111111111111111,0.023333333333333334,0.07777777777777778,0.05486111111111111,0.1,0.9508722349655384,3.2318286684533655e-09,,
cumulative_epc,intervention,any intervention,no intervention,surrogate-cost-averse,120,30,0.015000000000000001,0.002777777777777778,0.012222222222222223,0.006944444444444444,0.01722222222222222,0.6423080207173281,8.520800871947223e-06,,
cumulative_epc,intervention,any intervention,no intervention,surrogate-defiant,120,30,0.12819444444444444,0.05666666666666667,0.07152777777777777,0.03902777777777777,0.10166666666666667,0.7678318340963299,4.8683007408272774e-05,,
cumulative_epc,timing,late entry,early entry,surrogate-cautious,60,60,0.12055555555555555,0.17749999999999996,-0.05694444444444441,-0.09444444444444443,-0.020000000000000046,-0.5241422218357916,0.004693349636341841,,
cumulative_epc,timing,late entry,early entry,surrogate-conformist,60,60,0.07055555555555554,0.13166666666666668,-0.061111111111111144,-0.09111111111111113,-0.03249999999999999,-0.7359159648674108,9.64839347680264e-05,,
